,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,900.00,"1,000.00",950.00,Rs./Quintal,02-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,000.00","1,750.00",Rs./Quintal,01-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,600.00,"1,000.00",800.00,Rs./Quintal,01-07-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,000.00","1,750.00",Rs./Quintal,30-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,600.00,"1,000.00",800.00,Rs./Quintal,30-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,600.00","2,500.00","2,050.00",Rs./Quintal,28-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,28-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Badami,Large,"1,500.00","2,000.00","1,750.00",Rs./Quintal,27-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,27-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,800.00","2,500.00","2,150.00",Rs./Quintal,26-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,26-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,800.00","2,500.00","2,150.00",Rs./Quintal,25-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,25-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,800.00","2,500.00","2,150.00",Rs./Quintal,24-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,24-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,800.00","2,500.00","2,150.00",Rs./Quintal,23-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,23-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,800.00","2,500.00","2,150.00",Rs./Quintal,22-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,22-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,500.00","2,000.00",Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,20-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,500.00","2,000.00",Rs./Quintal,19-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,19-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,500.00","2,000.00",Rs./Quintal,18-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,050.00","1,000.00",Rs./Quintal,18-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,500.00","2,000.00",Rs./Quintal,17-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,17-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","2,500.00","2,000.00",Rs./Quintal,16-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,16-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,000.00","2,700.00","1,850.00",Rs./Quintal,13-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,300.00","1,050.00",Rs./Quintal,13-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","3,000.00","2,250.00",Rs./Quintal,12-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,300.00","1,050.00",Rs./Quintal,12-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,500.00","3,000.00","2,250.00",Rs./Quintal,11-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,800.00,"1,300.00","1,050.00",Rs./Quintal,11-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,200.00","3,000.00","2,100.00",Rs./Quintal,10-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,700.00,"1,500.00","1,100.00",Rs./Quintal,10-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,200.00","3,000.00","2,100.00",Rs./Quintal,09-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,700.00,"1,500.00","1,100.00",Rs./Quintal,09-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,200.00","3,000.00","2,100.00",Rs./Quintal,08-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Totapuri,Medium,700.00,"1,500.00","1,100.00",Rs./Quintal,08-06-2025
Andhra Pradesh,Chittor,Puttur APMC,Fruits,Mango,Other,Medium,"1,200.00","3,000.00","2,100.00",Rs./Quintal,07-06-2025
